date,title,desc,type,link
2024-10-02 12:00:00+00:00,"Single European Sky: annual monitoring highlights persistent capacity shortages and failure to meet environmental targets in 2023, as traffic recovers",The Performance Review Body (PRB) has published the 2023 Annual Monitoring Report and Traffic Light System - part of its yearly review of how Single European Sky (SES) Member States are performing.,News article,/news-events/news/single-european-sky-annual-monitoring-highlights-persistent-capacity-shortages-and-failure-meet-2024-10-02_en
2024-09-25 12:00:00+00:00,Women in Rail 2024 Award to boost female talent for a sustainable and competitive rail industry,The Commission together with Europe’s Rail Joint Undertaking and the EU Agency for Railways celebrated the Women in Rail 2024 Award.,News article,/news-events/news/women-rail-2024-award-boost-female-talent-sustainable-and-competitive-rail-industry-2024-09-25_en
2024-09-25 12:00:00+00:00,Commission seeks feedback on the Flight Emissions Label,The Commission has launched a public consultation on the draft proposal establishing the EU Flight Emissions Label.,News article,/news-events/news/commission-seeks-feedback-flight-emissions-label-2024-09-25_en
2024-09-24 12:00:00+00:00,CEF Transport: €2.5 billion to boost resilience and safety across the EU transport network,"The 2024 CEF for Transport call for proposals makes €2.5 billion available for projects that will modernise transport infrastructure on the EU’s TEN-T network, and in Ukraine and Moldova.",News article,/news-events/news/cef-transport-eu25-billion-boost-resilience-and-safety-across-eu-transport-network-2024-09-24_en
2024-09-23 12:00:00+00:00,"Rail market opening: competition leads to lower ticket prices, EU study finds",A study released by the European Commission highlights the user benefits of competition in both passenger rail and rail freight services.,News article,/news-events/news/rail-market-opening-competition-leads-lower-ticket-prices-eu-study-finds-2024-09-23_en
2024-09-20 12:00:00+00:00,Solidarity Lanes: Latest figures – August 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-august-2024-2024-09-20_en
2024-09-16 12:00:00+00:00,European Mobility Week kicks off to promote shared public spaces for sustainable urban mobility and improved quality of life,"The European Mobility Week, an annual event promoting sustainable urban mobility with over 2,500 cities and towns participating in a week-long festival from 16 to 22 September.",News article,/news-events/news/european-mobility-week-kicks-promote-shared-public-spaces-sustainable-urban-mobility-and-improved-2024-09-16_en
2024-09-09 12:00:00+00:00,TEN-T Corridor Coordinators,"Nine European Coordinators have been designated today to help complete the trans-European transport network (TEN-T), a vast infrastructure network of railways, roads, and inland waterways connecting the European Union.",News article,/news-events/news/ten-t-corridor-coordinators-2024-09-09_en
2024-08-29 12:00:00+00:00,"Sustainable Transport Forum - new sub-groups on hydrogen infrastructure, zero-emission heavy-duty vehicles and public key infrastructure for e-mobility","In the wake of the adoption of the new Alternative Fuels Infrastructure Regulation (AFIR), the European Commission has set up three new sub-groups under the Sustainable Transport Forum (STF) expert group.",News article,/news-events/news/sustainable-transport-forum-new-sub-groups-hydrogen-infrastructure-zero-emission-heavy-duty-vehicles-2024-08-29_en
2024-08-14 12:00:00+00:00,Solidarity Lanes: Latest figures – July 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-july-2024-2024-08-14_en
2024-07-31 12:00:00+00:00,Commission enforces temporary restrictions on liquid screening at certain EU airports,The Commission will temporarily enforce restrictions on liquid screening at EU airports utilising Explosive Detection Systems for Cabin Baggage (EDSCB).,News article,/news-events/news/commission-enforces-temporary-restrictions-liquid-screening-certain-eu-airports-2024-07-31_en
2024-07-29 12:00:00+00:00,European Commission launches Ship Financing Portal to boost the maritime sector's green transition,"The Ship Financing Portal, designed to improve access to financing for the shipping sector and the wider maritime industry, is now online!",News article,/news-events/news/european-commission-launches-ship-financing-portal-boost-maritime-sectors-green-transition-2024-07-29_en
2024-07-25 12:00:00+00:00, July infringement package: key decisions,July infringement package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_24_3228
2024-07-23 12:00:00+00:00,FuelEU Maritime Regulation: Q&A on implementation ,"As the maritime sector prepares for the FuelEU Maritime Regulation, a new Commission document answers key questions on its implementation.",News article,/news-events/news/fueleu-maritime-regulation-qa-implementation-2024-07-23_en
2024-07-22 12:00:00+00:00,Solidarity Lanes: Latest figures – June 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-june-2024-2024-07-22_en
2024-07-17 12:00:00+00:00,"EU invests record €7 billion in sustainable, safe and smart transport infrastructure","The Commission has selected 134 projects to receive over €7 billion in EU grants from the Connecting Europe Facility (CEF), the EU's programme for investment in transport infrastructure.",News article,/news-events/news/eu-invests-record-eu7-billion-sustainable-safe-and-smart-transport-infrastructure-2024-07-17_en
2024-07-02 12:00:00+00:00,Solidarity Lanes: Latest figures – May 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-may-2024-2024-07-02_en
2024-06-27 12:00:00+00:00,New EU Transport Report: Current trends and issues ,"The European Commission has released an overview of the latest developments in the EU transport sector, highlighting trends and issues for both the EU and individual Member States.",News article,/news-events/news/new-eu-transport-report-current-trends-and-issues-2024-06-27_en
2024-06-27 12:00:00+00:00,"EU and ICAO strengthen commitment to global aviation safety, security, and sustainability","The EU and the ICAO have reaffirmed their commitment to enhancing global aviation safety, security, and sustainability during a meeting at ICAO Headquarters in Montreal on 26 June.",News article,/news-events/news/eu-and-icao-strengthen-commitment-global-aviation-safety-security-and-sustainability-2024-06-27_en
2024-06-25 12:00:00+00:00,EU-Ukraine Solidarity Lanes: EU-funded scanners increase capacity at Hungarian-Ukrainian border,"A new EU-funded mobile cargo scanner was delivered today to the border crossing point in Chop at the Hungarian-Ukrainian border, in a bid to improve the flow of trade across Ukraine’s borders. Valued at approximately €2.5 million, the donation is part of the EU-Ukraine Solidarity Lanes.",News article,/news-events/news/eu-ukraine-solidarity-lanes-eu-funded-scanners-increase-capacity-hungarian-ukrainian-border-2024-06-25_en
2024-06-25 12:00:00+00:00,Urban public transport – New set of recommendations adopted by the Expert Group on Urban Mobility (EGUM),"The Commission’s Expert Group on Urban Mobility (EGUM) has adopted recommendations on complementing public transport with shared mobility, and on using the Social Climate Fund to support public transport.",News article,/news-events/news/urban-public-transport-new-set-recommendations-adopted-expert-group-urban-mobility-egum-2024-06-25_en
2024-06-20 12:00:00+00:00,Europeans are generally positive towards e-mobility ,A large survey by the European Alternative Fuels Observatory (EAFO) in twelve EU Member States shows a positive attitude towards switching to battery-electric cars.,News article,/news-events/news/europeans-are-generally-positive-towards-e-mobility-2024-06-20_en
2024-06-20 12:00:00+00:00,EU and Ukraine update and extend Road Transport Agreement,"The EU and Ukraine decided today to prolong and update their current road transport Agreement. Implemented due to lost transport routes and export markets east of Ukraine caused by the Russian aggression, the agreement supports the EU-Ukraine Solidarity Lanes.",News article,/news-events/news/eu-and-ukraine-update-and-extend-road-transport-agreement-2024-06-20_en
2024-06-13 12:00:00+00:00,A sustainable and resilient transport network bringing Europe closer together,The Commission welcomes the final adoption of the Regulation underpinning the trans-European transport network (TEN-T) by the European Parliament and the Council.,News article,/news-events/news/sustainable-and-resilient-transport-network-bringing-europe-closer-together-2024-06-13_en
2024-06-10 12:00:00+00:00, European Union signs aviation agreement with the People's Republic of Bangladesh,The European Union and Bangladesh have signed a Horizontal Aviation Agreement,News article,https://ec.europa.eu/commission/presscorner/detail/en/IP_24_3143
2024-05-23 12:00:00+00:00, May infringements package: key decisions,May infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_24_2422
2024-05-22 12:00:00+00:00,"Two years of Solidarity Lanes have brought the EU, Ukraine and Moldova closer together  ","Two years ago, in May 2022, the Commission, in collaboration with Ukraine and Moldova, created the Solidarity Lanes to help improve the EU–Ukraine–Moldova transport routes in response to Russia’s illegal full-scale invasion of Ukraine.",News article,/news-events/news/two-years-solidarity-lanes-have-brought-eu-ukraine-and-moldova-closer-together-2024-05-22_en
2024-05-17 12:00:00+00:00,Solidarity Lanes: improving the Danube routes together,"Representatives of Moldova, Romania, Ukraine, the United States  and the European Commission gathered today in Chisinau, continuing their work together to improve trade routes through the Solidarity Lanes along the Danube corridor.",News article,/news-events/news/solidarity-lanes-improving-danube-routes-together-2024-05-17_en
2024-05-16 12:00:00+00:00,Solidarity Lanes: Latest figures – April 2024,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-april-2024-2024-05-16_en
2024-05-16 12:00:00+00:00,EU supports improved Ukrainian–Moldovan border crossing cooperation as part of Solidarity Lanes,"Today the European Commission, together with Ukraine, Moldova, Romania and the US are inaugurating the renewed Ukrainian-Moldovan border crossing point in Reni, Ukraine, as part of the Solidarity Lanes initiative.",News article,/news-events/news/eu-supports-improved-ukrainian-moldovan-border-crossing-cooperation-part-solidarity-lanes-2024-05-16_en
2024-05-14 12:00:00+00:00,Commission adopts reasoned opinion in case brought by Italy against Austria on road transport,The Commission today adopted a reasoned opinion in a procedure brought by Italy against Austria under Article 259 of the Treaty on the Functioning of the European Union.,News article,https://ec.europa.eu/commission/presscorner/detail/en/mex_24_2601
2024-04-30 12:00:00+00:00,Excellence in Road Safety Awards 2024: applications now open,"Today, the European Road Safety Charter, the largest civil platform dedicated to road safety and led by the European Commission, opened applications for the 2024 Excellence in Road Safety Awards.",News article,/news-events/news/excellence-road-safety-awards-2024-applications-now-open-2024-04-30_en
2024-04-24 12:00:00+00:00,April infringement package: key decisions,April infringement package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_24_1941
2024-04-22 12:00:00+00:00,Urban Vehicle Access Regulations (UVARs) – recommendations by the Expert Group on Urban Mobility ,The Expert Group on Urban Mobility (EGUM) has adopted its recommendations on Urban Vehicle Access Regulations .,News article,/news-events/news/urban-vehicle-access-regulations-uvars-recommendations-expert-group-urban-mobility-2024-04-22_en
2024-04-17 12:00:00+00:00,Commission and EU rail sector launch Women in Rail Award 2024,"The award, divided into three categories, aims to promote fairness, diversity, and equality, and to celebrate outstanding and inspiring women and their achievements in the rail sector.",News article,/news-events/news/commission-and-eu-rail-sector-launch-women-rail-award-2024-2024-04-17_en
2024-04-16 12:00:00+00:00,Solidarity Lanes: Latest figures – March 2024,"In the face of Russia’s war of aggression against Ukraine, the EU, together with Ukraine and Moldova launched the EU-Ukraine Solidarity Lanes in May 2022, establishing new transport routes to keep Ukraine’s imports and exports flowing via rail, road and inland waterways.",News article,/news-events/news/solidarity-lanes-latest-figures-march-2024-2024-04-16_en
2024-04-12 12:00:00+00:00,Alternative Fuels Infrastructure Regulation: Q&A on operating recharging infrastructure,"The Alternative Fuels Infrastructure Regulation (AFIR), comes into force on 13 April 2024, supporting the transition towards more sustainable transport by setting obligatory targets for the rollout of recharging and refuelling transport infrastructure.",News article,/news-events/news/alternative-fuels-infrastructure-regulation-qa-operating-recharging-infrastructure-2024-04-12_en
2024-03-21 12:00:00+00:00,Solidarity Lanes: Latest figures – February 2024,"In the face of Russia’s war of aggression against Ukraine, the EU, together with Ukraine and Moldova launched the EU-Ukraine Solidarity Lanes in May 2022, establishing new transport routes to keep Ukraine’s imports and exports flowing via rail, road and inland waterways.",News article,/news-events/news/solidarity-lanes-latest-figures-february-2024-2024-03-21_en
2024-03-15 12:00:00+00:00,Budapest and online platform Nudgd recognised for green mobility activities in the European urban mobility awards,"Budapest was awarded the European Mobility Week Award in a ceremony in Brussels last night, while online platform Nudgd won the Mobility Action award.",News article,/news-events/news/budapest-and-online-platform-nudgd-recognised-green-mobility-activities-european-urban-mobility-2024-03-15_en
2024-03-13 12:00:00+00:00,March infringements package: key decisions,March infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_24_663
2024-03-13 12:00:00+00:00,Provisional agreement on better cross-border enforcement of road safety traffic rules,The Commission welcomes the political agreement reached last night between the European Parliament and the Council on facilitating the enforcement of road traffic rules across borders.,News article,https://ec.europa.eu/commission/presscorner/detail/en/IP_24_1401
2024-03-08 12:00:00+00:00,Save the date for the next edition of the EU Women in Rail Awards!,"This April, the European Commission, together with Europe’s Rail, the European Union Agency for Railways, CER, UNIFE and ALE will launch the next edition of the EU Women in Rail Awards.",News article,/news-events/news/save-date-next-edition-eu-women-rail-awards-2024-03-08_en
2024-03-08 12:00:00+00:00,2023 figures show stalling progress in reducing road fatalities in too many countries ,"Road safety in the EU 2023: Around 20 400 people were killed in road crashes last year, a small 2% decrease on 2022.",News article,/news-events/news/2023-figures-show-stalling-progress-reducing-road-fatalities-too-many-countries-2024-03-08_en
2024-03-05 12:00:00+00:00,Commission proposes to prolong road transport agreements with Ukraine and Moldova and introduces updates to the agreement with Ukraine,"The proposals, sent to the Council today, include updates to the agreement with Ukraine to improve its practical implementation and enforcement while maintaining its objectives and scope.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1305
2024-02-29 12:00:00+00:00,Commission makes €1bn available for recharging and refuelling points under the Connecting Europe Facility (CEF) ,The Commission is launching a call for proposals under the Connecting Europe Facility – Alternative Fuels Infrastructure Facility (AFIF),News article,/news-events/news/commission-makes-eu1bn-available-recharging-and-refuelling-points-under-connecting-europe-facility-2024-02-29_en
2024-02-28 12:00:00+00:00,Public workshop: adoption of new ITS Working Programme 2024-2028,On 19 March 2024 the European Commission will organise a stakeholder workshop via videoconference to discuss the new Working Programme of the ITS Directive for the period 2024-2028.,News article,https://transport.ec.europa.eu/news-events/events/public-workshop-adoption-new-its-working-programme-2024-2028-2024-03-19_en
2024-02-27 12:00:00+00:00,Recording available: Academic conference on future of EU mobility and transport,"On 21 February 2024, the European Commission organised an all-day academic conference on the state of play on EU transport policy and the challenges and priorities for the future of EU transport and mobility. In case you missed it, you can still watch the recording!",News article,/news-events/news/recording-available-academic-conference-future-eu-mobility-and-transport-2024-02-27_en
2024-02-27 12:00:00+00:00, Commission welcomes provisional agreement modernising ship inspections and oversight,"The Commission welcomes the political agreement reached between the European Parliament and the Council on updating the requirements for the Port State Control of vessels calling at EU ports, and on the flag State requirements for merchant vessels registered in EU Member States.",News article,https://ec.europa.eu/commission/presscorner/detail/en/IP_24_1182
2024-02-21 12:00:00+00:00,Extraordinary G7 Transport Ministerial welcomes EU maritime operation to safeguard Red Sea maritime security ,G7 Transport Ministers expressed strong condemnation of the attacks carried out by the Houthis against commercial vessels and navy ships in the Red Sea and Gulf of Aden.,News article,/news-events/news/extraordinary-g7-transport-ministerial-welcomes-eu-maritime-operation-safeguard-red-sea-maritime-2024-02-21_en
2024-02-16 12:00:00+00:00,Commission welcomes provisional agreement on tackling ship-source pollution to help make European seas cleaner,The Commission welcomes the political agreement between the European Parliament and the Council on the amendment of Directive 2005/35/EC on ship-source pollution and on the introduction of penalties for pollution offences.,News article,/news-events/news/commission-welcomes-provisional-agreement-tackling-ship-source-pollution-help-make-european-seas-2024-02-16_en
2024-02-15 12:00:00+00:00,Commission welcomes provisional agreement modernising maritime accident investigations,"The Commission welcomes the political agreement reached today between the European Parliament and the Council on the investigation of maritime accidents, modernising a 2009 Directive.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_24_727
2024-02-12 12:00:00+00:00,Focus on urban public transport – first set of recommendations adopted by the Expert Group on Urban Mobility (EGUM),"During its last plenary meeting on 16 January the Commission Expert Group on Urban Mobility (EGUM) adopted its first set of recommendations to the European Commission, primarily influenced by the recent work of the EGUM members on public transport and shared mobility.",News article,/news-events/news/focus-urban-public-transport-first-set-recommendations-adopted-expert-group-urban-mobility-egum-2024-02-12_en
2024-02-06 12:00:00+00:00,EU and Moldova launch high-level dialogue on transport  ,"In a bid to strengthen cooperation in the transport field, Commissioner Adina Vălean and Moldova’s Minister for Infrastructure and Regional Development Andrei Spînu today launched the EU-Moldova high-level dialogue on transport.",News article,https://ec.europa.eu/commission/presscorner/detail/en/mex_24_674
2024-01-29 12:00:00+00:00,Commission proposes to modernise river information services in EU,The Commission adopted a proposal to improve traffic management on the EU’s rivers and canals.,News article,/news-events/news/commission-proposes-modernise-river-information-services-eu-2024-01-29_en
2024-01-29 12:00:00+00:00,Global Gateway: €10 billion commitment to invest in Trans Caspian Transport Corridor connecting Europe and Central Asia announced at Investors Forum,Executive Vice President Valdis Dombrovskis announced that European and international financial institutions present at the Forum will commit €10 billion in support and investments towards sustainable transport connectivity in Central Asia.,News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_24_501
2024-01-25 12:00:00+00:00,New report comparing air traffic management performance in Europe and the United States published,"In the ongoing series of comparative reports between Europe and the US, the most recent update looks at operational as well as economic air traffic management (ATM) performance.",News article,/news-events/news/new-report-comparing-air-traffic-management-performance-europe-and-united-states-published-2024-01-25_en
2024-01-25 12:00:00+00:00,"STF: Call for applications for new sub-groups on hydrogen infrastructure, zero-emission heavy-duty vehicles and e-mobility Public Key Infrastructure",Sustainable Transport Forum – new calls for applications,News article,/news-events/news/stf-call-applications-new-sub-groups-hydrogen-infrastructure-zero-emission-heavy-duty-vehicles-and-e-2024-01-25_en
2024-01-24 12:00:00+00:00,Commission supports military mobility projects with €807 million,The Commission will fund 38 additional military mobility projects to support the transport of troops and equipment along the trans-European transport network (TEN-T).,News article,/news-events/news/commission-supports-military-mobility-projects-eu807-million-2024-01-24_en
2024-01-23 12:00:00+00:00,New deadline for the call for applications for the selection of members of the Digital Transport and Logistics Forum (DTLF),Deadline for the call for applications for the selection of members of the Digital Transport and Logistics Forum (DTLF) extended.,News article,/news-events/news/new-deadline-call-applications-selection-members-digital-transport-and-logistics-forum-dtlf-2024-01-23_en
2024-01-22 12:00:00+00:00,Save the date: Global TBO Symposium (4-6 June 2024),Towards global trajectory-based operations (TBO),News article,https://transport.ec.europa.eu/news-events/events/global-tbo-symposium-2024-06-04_en
2024-01-19 12:00:00+00:00,European Commission workshop addresses key challenges in seafaring profession,"Decarbonisation, digitalisation, social security and wellbeing at sea were the key topics on the agenda of the workshop for the seafaring profession on 17 January.",News article,/news-events/news/european-commission-workshop-addresses-key-challenges-seafaring-profession-2024-01-19_en
2024-01-16 12:00:00+00:00, “Europe for Aviation” teams up for Airspace World 2024,"The “Europe for Aviation” partners, consisting of nine European aviation organisations working to promote the modernisation, sustainability, and resilience of a safe European aviation, will come together at Airspace World, from 19-21 March 2024 in Geneva, Switzerland.",News article,/news-events/news/europe-aviation-teams-airspace-world-2024-2024-01-16_en
